Home_Team,Away_Team,Result,Date,Link,Year,Round,League
Ajaccio,Troyes,0-4,Sat 31 Oct ,/match/ajaccio/troyes/2021,2021,9,ligue_2
Chambly,Dunkerque,0-1,Sat 31 Oct ,/match/chambly/dunkerque/2021,2021,9,ligue_2
Guingamp,Sochaux,0-0,Sat 31 Oct ,/match/guingamp/sochaux/2021,2021,9,ligue_2
Le Havre,Pau FC,1-0,Sat 31 Oct ,/match/havre-ac/pau/2021,2021,9,ligue_2
Nancy,Chateauroux,2-1,Sat 31 Oct ,/match/nancy/berrichonne-chateauroux/2021,2021,9,ligue_2
Rodez,Auxerre,2-2,Sat 31 Oct ,/match/rodez/auxerre/2021,2021,9,ligue_2
Valenciennes,Clermont,1-3,Sat 31 Oct ,/match/valenciennes-afc/clermont-foot/2021,2021,9,ligue_2
Amiens SC,Toulouse,0-1,Mon 02 Nov ,/match/amiens-sc/toulouse-fc/2021,2021,9,ligue_2
Niort,Grenoble,0-0,Tue 15 Dec ,/match/chamois-niortais/grenoble-foot-38/2021,2021,9,ligue_2
Clermont,Guingamp,0-0,Sat 07 Nov ,/match/clermont-foot/guingamp/2021,2021,10,ligue_2
Grenoble,Le Havre,2-1,Sat 07 Nov ,/match/grenoble-foot-38/havre-ac/2021,2021,10,ligue_2
Auxerre,Amiens SC,2-1,Sat 07 Nov ,/match/auxerre/amiens-sc/2021,2021,10,ligue_2
Caen,Nancy,2-1,Sat 07 Nov ,/match/caen/nancy/2021,2021,10,ligue_2
Chateauroux,Pau FC,0-3,Sat 07 Nov ,/match/berrichonne-chateauroux/pau/2021,2021,10,ligue_2
Dunkerque,Paris FC,0-1,Sat 07 Nov ,/match/dunkerque/paris-sg/2021,2021,10,ligue_2
Rodez,Ajaccio,0-1,Sat 07 Nov ,/match/rodez/ajaccio/2021,2021,10,ligue_2
Sochaux,Niort,3-4,Sat 07 Nov ,/match/sochaux/chamois-niortais/2021,2021,10,ligue_2
Toulouse,Valenciennes,4-5,Sat 07 Nov ,/match/toulouse-fc/valenciennes-afc/2021,2021,10,ligue_2
Troyes,Chambly,2-2,Sat 07 Nov ,/match/troyes/chambly/2021,2021,10,ligue_2
Le Havre,Caen,1-2,Sat 21 Nov ,/match/havre-ac/caen/2021,2021,11,ligue_2
Amiens SC,Clermont,1-1,Sat 21 Nov ,/match/amiens-sc/clermont-foot/2021,2021,11,ligue_2
Chambly,Toulouse,1-1,Sat 21 Nov ,/match/chambly/toulouse-fc/2021,2021,11,ligue_2
Chateauroux,Sochaux,2-1,Sat 21 Nov ,/match/berrichonne-chateauroux/sochaux/2021,2021,11,ligue_2
Niort,Dunkerque,1-2,Sat 21 Nov ,/match/chamois-niortais/dunkerque/2021,2021,11,ligue_2
Paris FC,Auxerre,0-3,Sat 21 Nov ,/match/paris-sg/auxerre/2021,2021,11,ligue_2
Pau FC,Grenoble,0-2,Sat 21 Nov ,/match/pau/grenoble-foot-38/2021,2021,11,ligue_2
Valenciennes,Rodez,1-1,Sat 21 Nov ,/match/valenciennes-afc/rodez/2021,2021,11,ligue_2
Guingamp,Ajaccio,2-2,Mon 23 Nov ,/match/guingamp/ajaccio/2021,2021,11,ligue_2
Nancy,Troyes,2-3,Tue 15 Dec ,/match/nancy/troyes/2021,2021,11,ligue_2
Grenoble,Paris FC,0-0,Sat 28 Nov ,/match/grenoble-foot-38/paris-sg/2021,2021,12,ligue_2
Toulouse,Niort,2-1,Sat 28 Nov ,/match/toulouse-fc/chamois-niortais/2021,2021,12,ligue_2
Ajaccio,Chambly,0-0,Sat 28 Nov ,/match/ajaccio/chambly/2021,2021,12,ligue_2
Auxerre,Valenciennes,1-1,Sat 28 Nov ,/match/auxerre/valenciennes-afc/2021,2021,12,ligue_2
Caen,Chateauroux,1-1,Sat 28 Nov ,/match/caen/berrichonne-chateauroux/2021,2021,12,ligue_2
Clermont,Nancy,2-0,Sat 28 Nov ,/match/clermont-foot/nancy/2021,2021,12,ligue_2
Dunkerque,Pau FC,2-2,Sat 28 Nov ,/match/dunkerque/pau/2021,2021,12,ligue_2
Rodez,Guingamp,1-1,Sat 28 Nov ,/match/rodez/guingamp/2021,2021,12,ligue_2
Sochaux,Le Havre,4-0,Sat 28 Nov ,/match/sochaux/havre-ac/2021,2021,12,ligue_2
Troyes,Amiens SC,2-1,Sat 28 Nov ,/match/troyes/amiens-sc/2021,2021,12,ligue_2
Amiens SC,Dunkerque,1-0,Tue 01 Dec ,/match/amiens-sc/dunkerque/2021,2021,13,ligue_2
Chambly,Rodez,1-0,Tue 01 Dec ,/match/chambly/rodez/2021,2021,13,ligue_2
Chateauroux,Grenoble,0-1,Tue 01 Dec ,/match/berrichonne-chateauroux/grenoble-foot-38/2021,2021,13,ligue_2
Guingamp,Troyes,1-2,Tue 01 Dec ,/match/guingamp/troyes/2021,2021,13,ligue_2
Le Havre,Auxerre,1-1,Tue 01 Dec ,/match/havre-ac/auxerre/2021,2021,13,ligue_2
Nancy,Toulouse,1-3,Tue 01 Dec ,/match/nancy/toulouse-fc/2021,2021,13,ligue_2
Niort,Clermont,1-0,Tue 01 Dec ,/match/chamois-niortais/clermont-foot/2021,2021,13,ligue_2
Paris FC,Sochaux,0-0,Tue 01 Dec ,/match/paris-sg/sochaux/2021,2021,13,ligue_2
Pau FC,Caen,1-0,Tue 01 Dec ,/match/pau/caen/2021,2021,13,ligue_2
Valenciennes,Ajaccio,1-1,Tue 01 Dec ,/match/valenciennes-afc/ajaccio/2021,2021,13,ligue_2
Troyes,Paris FC,2-1,Sat 05 Dec ,/match/troyes/paris-sg/2021,2021,14,ligue_2
Auxerre,Niort,6-0,Sat 05 Dec ,/match/auxerre/chamois-niortais/2021,2021,14,ligue_2
Caen,Grenoble,1-1,Sat 05 Dec ,/match/caen/grenoble-foot-38/2021,2021,14,ligue_2
